Rank,Name,Rating,Year
1, The Shawshank Redemption,9.3 ,1994
2, The Godfather,9.2 ,1972
3, The Dark Knight,9.0 ,2008
4, The Godfather: Part II,9.0 ,1974
5, 12 Angry Men,9.0 ,1957
6, Schindler's List,9.0 ,1993
7, The Lord of the Rings: The Return of the King,9.0 ,2003
8, Pulp Fiction,8.9 ,1994
9, The Lord of the Rings: The Fellowship of the Ring,8.9 ,2001
10," Il Buono, Il Brutto, Il Cattivo",8.8 ,1966
11, Forrest Gump,8.8 ,1994
12, Fight Club,8.8 ,1999
13, The Lord of the Rings: The Two Towers,8.8 ,2002
14, Inception,8.8 ,2010
15, Star Wars: Episode V - The Empire Strikes Back,8.7 ,1980
16, The Matrix,8.7 ,1999
17, GoodFellas,8.7 ,1990
18, One Flew Over the Cuckoo's Nest,8.7 ,1975
19, Se7en,8.6 ,1995
20, It's a Wonderful Life,8.6 ,1946
21, Interstellar,8.7 ,2014
22, Shichinin No Samurai,8.6 ,1954
23, The Silence of the Lambs,8.6 ,1991
24, Saving Private Ryan,8.6 ,1998
25, City of God,8.6 ,2002
26, Life Is Beautiful,8.6 ,1997
27, The Green Mile,8.6 ,1999
28, Terminator 2: Judgment Day,8.6 ,1991
29, Star Wars: Episode IV - A New Hope,8.6 ,1977
30, Spider-man: Across the Spider-verse,8.6 ,2023
31, Back to the Future,8.5 ,1985
32, Spirited Away,8.6 ,2001
33, The Pianist,8.5 ,2002
34, Parasite,8.5 ,2019
35, Psycho,8.5 ,1960
36, Gladiator,8.5 ,2000
37, The Lion King,8.5 ,1994
38, Léon,8.5 ,1994
39, The Departed,8.5 ,2006
40, American History X,8.5 ,1998
41, Whiplash,8.5 ,2014
42, The Prestige,8.5 ,2006
43, Grave of the Fireflies,8.5 ,1988
44, Seppuku,8.6 ,1962
45, The Usual Suspects,8.5 ,1995
46, Casablanca,8.5 ,1942
47, Intouchables,8.5 ,2011
48, Modern Times,8.5 ,1936
49, Cinema Paradiso,8.5 ,1988
50, Rear Window,8.5 ,1954
51, C'era Una Volta Il West,8.5 ,1968
52, Alien,8.5 ,1979
53, 12th Fail,9.2 ,2023
54, City Lights,8.5 ,1931
55, Apocalypse Now,8.4 ,1979
56, Django Unchained,8.5 ,2012
57, Memento,8.4 ,2000
58, WALL·E,8.4 ,2008
59, Raiders of the Lost Ark,8.4 ,1981
60, Das Leben der Anderen,8.4 ,2006
61, Sunset Blvd,8.4 ,1950
62, Paths of Glory,8.4 ,1957
63, Avengers: Infinity War,8.4 ,2018
64, Spider-Man: Into the Spider-Verse,8.4 ,2018
65, The Shining,8.4 ,1980
66, Witness for the Prosecution,8.4 ,1957
67, The Great Dictator,8.4 ,1940
68, Alien 2,8.4 ,1986
69, Inglourious Basterds,8.4 ,2009
70, The Dark Knight Rises,8.4 ,2012
71, American Beauty,8.3 ,1999
72, Dr,8.4 ,1964
73, Oldeuboi,8.3 ,2003
74, Coco,8.4 ,2017
75, Amadeus,8.4 ,1984
76, Toy Story,8.3 ,1995
77, Oppenheimer,8.4 ,2023
78, Das Boot,8.4 ,1981
79, Braveheart,8.3 ,1995
80, Avengers: Endgame,8.4 ,2019
81, Joker,8.4 ,2019
82, Mononoke-hime,8.3 ,1997
83, Good Will Hunting,8.3 ,1997
84, Kimi No Na Wa,8.4 ,2016
85, Once Upon a Time in America,8.3 ,1984
86, 3 Idiots,8.4 ,2009
87, Tengoku to Jigoku,8.4 ,1963
88, Singin' in the Rain,8.3 ,1952
89, Capharnaüm,8.4 ,2018
90, Requiem for a Dream,8.3 ,2000
91, Idi I Smotri,8.4 ,1985
92, Toy Story 3,8.3 ,2010
